Date,TNX,US_Corp,LIBOR,CPI,BAA,UNRATE,SPY,IRX,RGDP,Cash,TreasInd
1/1/1990,8.43,444.7281818,8.349431818,132.1,9.94,5.4,#N/A,7.74,9358.289,#N/A,#N/A
2/1/1990,8.51,442.4673684,8.365625,132.7,10.14,5.3,#N/A,7.77,#N/A,#N/A,#N/A
3/1/1990,8.65,443.5252174,8.491477273,133.5,10.21,5.2,#N/A,7.8,#N/A,#N/A,#N/A
4/1/1990,9.04,443.4435,8.569901579,134,10.3,5.4,#N/A,7.79,9392.251,#N/A,#N/A
5/1/1990,8.6,446.9168182,8.475446667,134.4,10.41,5.4,#N/A,7.75,#N/A,#N/A,#N/A
6/1/1990,8.43,456.7259091,8.351934762,135.1,10.22,5.2,#N/A,7.74,#N/A,#N/A,#N/A
7/1/1990,8.36,460.4171429,8.220880909,135.8,10.2,5.5,#N/A,7.49,9398.499,#N/A,#N/A
8/1/1990,8.86,458.5278261,8.090909091,136.6,10.41,5.7,#N/A,7.39,#N/A,#N/A,#N/A
9/1/1990,8.82,458.3535,8.1875,137.1,10.64,5.9,#N/A,7.14,#N/A,#N/A,#N/A
10/1/1990,8.65,462.563913,8.169157826,137.6,10.74,5.9,#N/A,7.11,9312.937,#N/A,#N/A
11/1/1990,8.26,469.9366667,8.164772727,138,10.62,6.2,#N/A,7.02,#N/A,#N/A,#N/A
12/1/1990,8.08,479.3005,7.921875263,138.6,10.43,6.3,#N/A,6.44,#N/A,#N/A,#N/A
1/1/1991,8.03,482.9786364,7.337358182,139.5,10.45,6.4,#N/A,6.19,9269.367,#N/A,#N/A
2/1/1991,8.02,493.1589474,6.7125,140.2,10.07,6.6,#N/A,6.04,#N/A,#N/A,#N/A
3/1/1991,8.05,493.5557143,6.56875,140.5,10.09,6.8,#N/A,5.74,#N/A,#N/A,#N/A
4/1/1991,8.02,502.33,6.223214286,140.9,9.94,6.7,#N/A,5.51,9341.642,#N/A,#N/A
5/1/1991,8.06,507.3104545,6.05952381,141.3,9.86,6.9,#N/A,5.53,#N/A,#N/A,#N/A
6/1/1991,8.24,506.5919048,6.20625,141.8,9.96,6.9,#N/A,5.54,#N/A,#N/A,#N/A
7/1/1991,8.2,511.4172727,6.138586957,142.3,9.89,6.8,#N/A,5.53,9388.845,#N/A,#N/A
8/1/1991,7.82,525.5930435,5.770833333,142.9,9.65,6.9,#N/A,5.33,#N/A,#N/A,#N/A
9/1/1991,7.47,534.6285,5.619047619,143.4,9.51,6.9,#N/A,5.11,#N/A,#N/A,#N/A
10/1/1991,7.47,541.0569565,5.470108696,143.7,9.49,7,#N/A,4.82,9421.565,#N/A,#N/A
